"Program","Project ID","Project Name","Proponents","Authorized Representative Organization Name","Sectoral Scope","PUBLIC_VIEW_REPORTS_PROJECTS.pubReportsProjectsList.AFOLUActivities","Methodology","Estimated Average Annual Emission Reductions and Carbon Dioxide Removals","Sustainable Development Contributions","Validator","Region","Country","State/Province","Estimated Project Start Date","Crediting Period Duration Start Date","Crediting Period Duration End Date","Crediting Period Term","Project Registration Date","Status"
"Verified Carbon Standard","1843","100 MW SOLAR BY GIRIRAJ RENEWABLES PVT. LTD.- SATARA.","Giriraj Renewables Private Limited","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","135329","","Earthood Services Limited","Asia","India","Maharashtra","16 Apr 2018","16 Apr 2018","15 Apr 2028","1","","Withdrawn"
"Verified Carbon Standard","2028","100 MW Solar Project by Avaada in UP (India)","Avaada Non-Conventional UPProject Private Limited","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","185303","","Earthood Services Limited","","India","Uttar Pradesh","01 Oct 2020","","","","","Withdrawn"
"Verified Carbon Standard","1842","100 MW SOLAR PROJECT IN BHADLA IN RAJASTHAN.","Clean Sustainable Energy Pvt. Ltd.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","176539","","Earthood Services Limited","Asia","India","Rajasthan","16 Sep 2018","16 Sep 2018","15 Sep 2028","1","03 Jan 2019","Registered"
"Verified Carbon Standard","4669","100 MW Solar PV project by ERBL, Bangladesh","Energon Renewables (BD) Ltd (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","106019","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","Bangladesh","Bagerhat district","29 Dec 2021","29 Dec 2021","28 Dec 2028","1","26 Jun 2024","Registered"
"Verified Carbon Standard","1746","108 MW Fatanpur Wind Power Project in Madhya Pradesh","Vena Energy Fatanpur Power Private Limited (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 17)","212745","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","Madhya Pradesh","11 Mar 2016","11 Mar 2016","10 Mar 2026","1","09 Mar 2018","Registered"
"Verified Carbon Standard","591","10MW Biomass Power Generation Project - Tokyo Cement, Trincomalee","Tokyo Cement Company (Lanka) Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","43800","","Det Norske Veritas Climate Change Services AS (DNV)","Africa","Sri Lanka","Eastern","03 Sep 2008","","","","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","377","11.60 MW Bundled grid-connected wind electricity generation project at Tirunelveli, Tamil Nadu, India","Indian Wind Power Association (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","29586","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Tamil Nadu","22 Jan 2005","28 Mar 2006","27 Mar 2016","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","68","119.8 MW Natural Gas based Combined Cycle Power Plant, at Tanjavur, Tamilnadu by M/s Aban  Power Company Limited","Lanco Tanjore Power Company Limited","","Energy industries (renewable/non-renewable sources)","","AM0029 (Version NA)","181153","","TÜV NORD CERT GmbH","Asia","India","Tamil Nadu","11 Aug 2005","11 Aug 2005","10 Aug 2015","1","06 Apr 2020","Registered"
"Verified Carbon Standard","564","12 MW Grid connected Wind Power Project, Gujarat State, India","Ansal Properties & Infrastructure Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","21000","","SGS United Kingdom Ltd. (SGS)","Asia","India","Gujarat","26 Sep 2007","25 Jan 2008","24 Jan 2018","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1800","12 MW Raura Hydro Project by DLI Power","DLI Power (India) Private Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version 18)","38464","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","Himachal Pradesh","09 Sep 2019","09 Sep 2019","08 Sep 2029","1","25 Feb 2021","Registered"
"Verified Carbon Standard","5211","12 MW Waste-to-Energy Power Plant by EB Environmental Energy LTD in  Viet Nam","EB Environmental Energy (Thua Thien Hue) Limited","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","AMS-I.D. (Version NA), AMS-III.E. (Version NA)","57306","","EcoLance Private Limited","Asia","Viet Nam","Thien Hue","07 Feb 2024","07 Feb 2024","06 Feb 2031","1","","Registration requested"
"Verified Carbon Standard","637","12 MW Wind Electricity Generation Farm at Radhapuram by M/s Surana Industries Limited","SURANA INDUSTRIES LTD (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","25812","","TÜV NORD CERT GmbH","Asia","India","Tamil Nadu","03 Mar 2006","01 Apr 2016","31 Mar 2026","2","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","437","12 MW Wind Power Project in Kutch, Gujarat","Gautam Freight Pvt. Ltd (GFPL)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","21699","","TÜV NORD CERT GmbH","Asia","India","Gujarat","12 Dec 2006","21 Mar 2007","20 Mar 2017","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","5490","12 TPD CBG Project in DCM Shriram Limited, CBG Unit :Ajbapur","DCM Shriram Limited (PP)","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0022 (Version NA)","60441","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","Uttar Pradesh","27 Mar 2025","27 Mar 2025","26 Mar 2032","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","311","12.15 MW Wind Power Project located at Kutch, Gujarat","ERA LANDMARKS LTD (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","24497","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Gujarat","26 Mar 2007","26 Mar 2007","25 Mar 2017","1","08 Feb 2010","Late to Verify"
"Verified Carbon Standard","369","12.25 MW Bundled grid-connected wind electricity generation project, Tamil Nadu, India","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","27386","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Tamil Nadu","31 Mar 2003","28 Mar 2016","27 Mar 2026","2","24 Mar 2010","Late to Verify"
"Verified Carbon Standard","828","12.25 MW Bundled Wind Power Project in India","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","20121","","TÜV NORD CERT GmbH","Asia","India","Madhya Pradesh, Maharashtra and Tamilnadu","31 Mar 2006","31 Mar 2016","30 Mar 2026","2","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","447","12.5 MW Bundled grid-connected wind electricity generation project in Karnataka, India","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","26905","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Karnataka","22 Mar 2005","28 Mar 2006","27 Mar 2016","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","611","12.5 MW wind power project in Maharashtra, India by KRBL Limited","KRBL Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","33093","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Dhule, Maharashtra","27 Mar 2006","11 Aug 2007","10 Aug 2017","1","11 May 2011","Late to Verify"
"Verified Carbon Standard","623","12.55 MW Wind Power Project In India","Walden Properties Pvt. Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-II.D. (Version NA)","27182","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Tamilnadu","11 Sep 2006","01 Jan 2008","31 Dec 2017","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","2041","123 MW SOLAR PV IPP PROJECT ON LANDFILL IN BAHRAIN","South Pole Carbon Asset Management Ltd","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 7)","203808","","KBS Certification Services Limited","Middle East","Bahrain","","01 Aug 2021","01 Aug 2021","31 Jul 2031","1","26 Aug 2020","Late to Verify"
"Verified Carbon Standard","1986","13 MW Grid Connected Dandela Mini Hydel Scheme, Karnataka State, India.","Sagar Power Dandela Private Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","32160","","","Asia","India","Karnataka","19 Jul 2009","19 Jul 2019","18 Jul 2029","2","","Pipeline listing (under development) approved"
"Verified Carbon Standard","372","13.21 MW Bundled grid-connected wind electricity generation project in Coimbatore and Erode districts of Tamil Nadu, India","Indian Wind Power Association (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","30714","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Tamil Nadu","11 Jan 2005","09 Apr 2006","08 Apr 2016","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","631","13.25 MW Wind Power Generation by RMTL, in Kutch, Gujarat","Ratnamani Metals & Tubes Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","23960","","TÜV NORD CERT GmbH","Asia","India","Region: Gujarat, District: Kutch","31 Mar 2006","01 Jan 2009","31 Dec 2018","1","06 Apr 2020","Registered"
"Verified Carbon Standard","630","13.65 MW Captive Wind Energy Project in Tirunelveli","Loyal Textiles Mills Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","16249","","TÜV NORD CERT GmbH","Asia","India","Tirunelveli district, Tamil Nadu","25 Mar 2004","25 Mar 2018","24 Mar 2025","3","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1131","13.65 MW Wind Power Project of Khatau Narbheram & Co. in Tamil Nadu, India.","KHATAU NARBHERAM & CO. (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","26813","","URS Verification Private Limited","Asia","India","Tamil Nadu","09 Sep 2011","01 Sep 2013","31 Aug 2023","1","06 Sep 2013","Late to Verify"
"Verified Carbon Standard","927","13.75 MW wind power project in Davangere, Karnataka, India","Sargam Retails Pvt. Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","26475","","TUV Rheinland (China) Ltd.","Asia","India","Karnataka","31 Mar 2009","31 Mar 2019","30 Mar 2029","2","06 Apr 2020","Registered"
"Verified Carbon Standard","821","13.95 MW grid connected wind electricity generation by SRF Limited","SRF Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","34886","","SGS United Kingdom Ltd. (SGS)","Asia","India","Tamil Nadu","27 Mar 2008","27 Mar 2008","26 Mar 2018","1","06 Apr 2020","Registered"
"Verified Carbon Standard","5833","1397 TPD Bundled Composting Project by EOFPL","M/S. Eastern Organic Fertilizer Pvt. Ltd. (EOFPL)","","Waste handling and disposal","","ACM0022 (Version NA)","79427","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","West Bengal & Uttar Pradesh","27 Mar 2024","27 Mar 2024","26 Mar 2034","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","4620","14 MW Waste-to-Energy Project by Antony Lara Renewable Energy Pvt. Ltd","Antony Lara Renewable Energy Pvt. Ltd","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","AMS-I.D. (Version NA), AMS-III.E. (Version NA)","61304","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","Maharashtra","07 Oct 2023","07 Oct 2023","06 Oct 2030","1","12 May 2025","Registered"
"Verified Carbon Standard","234","14 MW Wind Power Project in Maharashtra","Shah Promoters and Developers (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","21094","","TÜV NORD CERT GmbH","Asia","India","Maharashtra","10 Aug 2006","08 Jun 2017","07 Jun 2027","2","08 Dec 2009","Late to Verify"
"Verified Carbon Standard","538","14.1 MW grid connected wind energy project in Tamilnadu by ITC Limited","ITC Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","36182","","Det Norske Veritas Climate Change Services AS (DNV)","Asia","India","Tamil Nadu","20 Sep 2008","20 Sep 2008","19 Sep 2018","1","06 Apr 2020","Registered"
"Verified Carbon Standard","1293","14.4 MW Grid Connected Wind Power Project of Vaibhavlaxmi Clean Energy in Madhya Pradesh and Tamil Nadu, India","Vaibhavlaxmi Clean Energy LLP (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","45421","","SGS United Kingdom Ltd. (SGS)","Asia","India","Madhya Pradesh and Tamil Nadu","31 Mar 2011","31 Mar 2011","30 Mar 2021","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1159","14.7 MW Bundled Wind Power Project in the state of Maharashtra and Rajasthan, India.","Gangadhar Narsingdas Agrawal (HUF)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","24288","","KBS Certification Services Limited","Asia","India","Maharshtra","22 Sep 2010","25 Jan 2011","24 Jan 2021","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1155","14.70 MW Wind Power Project at Jath, Maharashtra","Agrawal Renewable Energy Private Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","23411","","KBS Certification Services Limited","Asia","India","Maharashtra","08 Jun 2012","08 Jun 2012","07 Jun 2022","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1709","140 MW Solar Photovoltaic Project in Rajasthan","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 17)","241573","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","Rajasthan","18 Jul 2017","18 Jul 2017","17 Jul 2027","1","19 Aug 2019","Registered"
"Verified Carbon Standard","624","15 MW Biomass Residue Based Power Project at Ghazipur, India","Sukhbir Agro Energy Limited","","Energy industries (renewable/non-renewable sources)","","ACM0006 (Version NA)","67259","","4K Earth Science Private Limited","Asia","India","Uttar Pradesh","14 Feb 2009","14 Feb 2009","13 Feb 2019","1","06 Apr 2020","Registered"
"Verified Carbon Standard","225","15 MW bundled gird connected renewable energy project in Maharashtra, India.","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","22203","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Maharashtra","11 Jul 2005","01 Apr 2016","31 Mar 2026","2","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","314","15 MW Bundled grid-connected wind electricity generation project in  Radhapuram Taluk of Tirunelveli District in Tamil Nadu, India","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","25305","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Tamil Nadu","31 Mar 2003","28 Mar 2006","27 Mar 2016","1","10 Feb 2010","Registered"
"Verified Carbon Standard","639","15 MW Grid Connected renewable energy generation by RSMML","Rajasthan State Mines & Minerals Ltd (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","25000","","Det Norske Veritas Climate Change Services AS (DNV)","Asia","India","Jaisalmer district of Rajasthan","01 Oct 2007","01 Jul 2019","30 Jun 2029","2","17 Jun 2011","Late to Verify"
"Verified Carbon Standard","619","15 MW Grid Connected Renewable Energy Wind Turbine in Karnataka","MINERAL ENTERPRISES LIMITED (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","32275","","TÜV NORD CERT GmbH","Asia","India","Karnataka","30 Sep 2004","01 Apr 2016","31 Mar 2026","2","06 Apr 2020","Registered"
"Verified Carbon Standard","133","15 MW grid-connected wind power project by MMTC in Karnataka","MMTC Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","21927","","TÜV NORD CERT GmbH","Asia","India","Karnataka","15 Dec 2006","01 Jun 2008","31 May 2018","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","568","15 MW grouped grid connected wind energy project in Gujarat, India","C. Mahendra Exports Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","27384","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Gujarat","26 Mar 2007","01 Apr 2007","31 Mar 2017","1","17 Feb 2011","Late to Verify"
"Verified Carbon Standard","3662","15 MW Nam Hinboun Downstream Hydropower Project","Rasita Power Co. Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","79740","","4K Earth Science Private Limited","Asia","Lao People's Democratic Republic","Khammouane province","01 Feb 2021","01 Feb 2021","31 Jan 2028","1","11 Apr 2023","Registered"
"Verified Carbon Standard","3986","15 MW Nam The Hydropower Project","Kosher Climate India Pvt. Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","40111","","4K Earth Science Private Limited","Asia","Lao People's Democratic Republic","Xieng Khouang Province","01 Jan 2021","01 Jan 2021","31 Dec 2027","1","","Inactive"
