,Project ID,Project Name,Country,Other Countries Involved,Methodology,Project Size,Investment Analysis Option,Barrier Analysis,Emission Factor Data Vintage,Emission Factor Weights,Validator,Estimated Emission Reductions,Actual Emission Reductions
0,IGES06570,Gansu Zhuoni Niuzi 30MW Hydropower Project,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,DNV-CUK,1605721.5616438356,696212.0
22,IGES05312,Nueva Aldea Biomass Power Plant Phase 2,Chile,Multiple Additional Countries,ACM0006;,LARGE,None,done,ex post,0.25:0.75,KBS,2119289.775342466,908828.0
23,IGES05696,Inner Mongolia Huitengxile Jingneng 100MW Wind Power Project,China,Spain,ACM0002;,LARGE,None,None,ex ante,0.75:0.25,CTI,5009694.15890411,1006628.0
24,IGES05742,"6.25 MW grid-connected Sattegala Mini Hydel Scheme at SLS Power Industries Ltd., in Chamarajanagar District, Karnataka",India,No Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,LGAI,421494.7068493151,147832.0
25,IGES05740,"4.5MW grid-connected Sugur Mini Hydel Scheme at SLS Power Industries Ltd in Bellary District, Karnataka",India,No Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,LGAI,194843.80273972606,61616.0
26,IGES05653,Loma Los Colorados Landfill Gas Project,Chile,No Additional Countries,ACM0001;,LARGE,Benchmark Analysis,done,ex ante,0.25:0.75,LGAI,23368082.82465754,7988476.0
27,IGES05849,Gansu Diebu Duoer 32MW Hydropower Project,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,None,None,ex ante,0.25:0.75,CTI,2002341.9452054792,718066.0
28,IGES05818,"A.T. Biopower Rice Husk Power Project in Pichit, Thailand",Thailand,Sweden,ACM0018;,LARGE,None,done,ex ante,0.25:0.75,LGAI,1291500.0,422482.0
29,IGES05131,"Landfill Gas to Energy Project at Lara Landfill, Mauá, Brazil",Brazil,Multiple Additional Countries,ACM0001;,LARGE,Investment Comparison Analysis,done,ex ante,0.25:0.75,KBS,10013010.0,1017832.0
30,IGES05282,"LaGeo, S. A. de C. V., Berlin Geothermal Project, Phase Two",El Salvador,No Additional Countries,ACM0002;,LARGE,None,done,ex post,0.25:0.75,ICONTEC,3266732.0,1985587.0
31,IGES06237,Kadamane Mini Hydel Scheme-1 (KMHS-1),India,No Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,TÜV SÜD,712746.9999999999,252456.0
32,IGES05330,São João Landfill Gas to Energy Project (SJ),Brazil,Multiple Additional Countries,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,DNV-CUK,6917574.394520547,3274907.0
33,IGES05606,Al-Shaheen Oil Field Gas Recovery and Utilization Project,Qatar,No Additional Countries,AM0009;,LARGE,Benchmark Analysis,None,N.A.,N.A.,TÜV SÜD,29054909.3479452,14476812.0
34,IGES05900,Gansu Zhouqu Shimenping 15 MW Hydropower Station Project,China,Multiple Additional Countries,AMS-ID;,SMALL,None,None,ex ante,0.25:0.75,CTI,1092759.6273972602,546894.0
35,IGES05187,El Molle – Landfill gas (LFG) capture project,Chile,Switzerland,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,KBS,3403505.0,612852.0
36,IGES05412,Rudong County Wind Farm Project – China,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CTI,3782632.0,1316275.0
37,IGES05681,Daegu Bangcheon-Ri Landfill Gas CDM Project,"Korea, Republic of",No Additional Countries,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,KSA,5712253.767123288,3740161.0
38,IGES05171,Quimobásicos HFC Recovery and Decomposition Project,Mexico,Multiple Additional Countries,AM0001;,LARGE,None,None,N.A.,N.A.,TÜV NORD,25968397.000000007,13593573.0
39,IGES05183,ESTRE’s Paulínia Landfill Gas Project (EPLGP),Brazil,Multiple Additional Countries,ACM0001;,LARGE,None,None,ex post,0.25:0.75,LGAI,8884512.0,5529733.0
40,IGES05476,Erlongshan Hydropower Project in Gansu Province,China,Germany,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,CCSC,2309165.619178083,1679296.0
41,IGES05279,Youngduk Wind Park Project,"Korea, Republic of",United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Investment Comparison Analysis,None,ex ante,0.75:0.25,KFQ,1066044.0,666439.0
42,IGES05561,Darajat Unit III Geothermal Project,Indonesia,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,None,done,ex ante,0.25:0.75,ERM-CVS,14776853.58630137,8267484.0
43,IGES05101,Tétouan Wind Farm Project for Lafarge Cement Plant,Morocco,France,AMS-IF;,SMALL,None,done,ex ante,0.75:0.25,AENOR,478387.00000000006,299750.0
44,IGES05741,"Catalytic N2O Abatement Project in the Tail Gas of the Nitric Acid Plant of the Hanwha Corporation (HWC) in Ulsan, Republic of Korea","Korea, Republic of",No Additional Countries,AM0019;,LARGE,None,N2O,N.A.,N.A.,KTR,5292110.964383561,3364097.0
45,IGES05414,Indocement Alternative Fuels Project,Indonesia,No Additional Countries,ACM0003;,LARGE,Benchmark Analysis,done,N.A.,N.A.,RINA,2022832.0,383607.0
46,IGES05346,Satyamaharshi 6 MW Biomass Power Project,India,Multiple Additional Countries,AMS-ID;,SMALL,Simple Cost Analysis,done,ex ante,0.25:0.75,LGAI,428680.0,116425.0
47,IGES05154,Agua Fresca Multipurpose and environmental services project,Colombia,No Additional Countries,AMS-ID;,SMALL,None,None,ex ante,0.25:0.75,ICONTEC,321755.0,192008.0
48,IGES05290,"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India",India,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.25:0.75,Earthood,889197.9095890411,448103.0
49,IGES05501,Candelaria Hydroelectric Project,Guatemala,No Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,TÜV NORD,289380.0,227920.0
50,IGES05153,Bagepalli CDM Biogas Programme,India,Multiple Additional Countries,AMS-IC;,SMALL,None,done,N.A.,N.A.,4KES,362018.99999999994,203584.0
51,IGES05188,Caieiras landfill gas emission reduction,Brazil,Multiple Additional Countries,ACM0001;,LARGE,None,None,ex post,0.25:0.75,LGAI,24780637.0,9840724.0
52,IGES05213,San Jacinto Tizate geothermal project,Nicaragua,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.25:0.75,Earthood,5533619.0,1392411.0
53,IGES05607,Catalytic N2O destruction project in the tail gas of three Nitric Acid Plants at Hu-Chems Fine Chemical Corp.,"Korea, Republic of",Multiple Additional Countries,ACM0019;,LARGE,None,N2O,N.A.,N.A.,TÜV NORD,0.0,16151103.0
54,IGES05089,Brazil NovaGerar Landfill Gas to Energy Project,Brazil,No Additional Countries,AM0003;,LARGE,None,None,ex post,0.25:0.75,RINA,7970886.000000001,2560534.0
55,IGES05575,Raudi Chemical Salts,Brazil,Multiple Additional Countries,AM0027;,LARGE,None,done,N.A.,N.A.,SGS-UKL,324800.00000000006,10248.0
56,IGES05107,Salvador da Bahia Landfill Gas Management Project,Brazil,Switzerland,AM0002;,LARGE,None,done,N.A.,N.A.,DNV-CUK,12672113.865753425,7419506.0
57,IGES05313,"Chambal Power Limited’s (CPL) proposed 7.5 MW biomass based power project at Rangpur,  Kota District, Rajasthan, India",India,Australia,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,SGS-UKL,977020.898630137,526755.0
58,IGES07440,Wayang Windu Phase 2 Geothermal Power Project,Indonesia,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,EPIC,15654190.999999998,6979300.0
59,IGES05258,Nueva Aldea Biomass Power Plant Phase 1,Chile,No Additional Countries,ACM0006;,LARGE,None,done,ex ante,0.25:0.75,DNV-CUK,3331321.0,1451256.0
60,IGES05411,Catalytic N2O destruction project in the tail gas of the Nitric Acid Plant of Abu Qir Fertilizer Co.,Egypt,Multiple Additional Countries,ACM0009;,LARGE,None,N2O,N.A.,N.A.,TUEV-SUED,24149859.999999993,19715966.0
61,IGES05259,Trupan Biomass Power Plant in Chile,Chile,No Additional Countries,ACM0006;,LARGE,None,done,ex ante,0.25:0.75,DNV-CUK,2427708.090410959,1516710.0
62,IGES05339,Fujian Zhangpu Liuao 30.6 MW Wind Power Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1130157.0,238939.0
63,IGES05383,NorthWind Bangui Bay Project,Philippines,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.75:0.25,DNV-CUK,1118264.0,444312.0
64,IGES05164,Biogas Support Program - Nepal (BSP-Nepal)  Activity-2,Nepal,No Additional Countries,AMS-IE;,SMALL,None,done,N.A.,N.A.,DNV-CUK,750694.0,442682.0
65,IGES05248,"Aleo Manali 3 MW Small Hydroelectric Project, Himachal Pradesh, India",India,Multiple Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,BVQI,248682.0,239366.0
66,IGES05352,Irani Biomass Electricity Generation Project,Brazil,United Kingdom of Great Britain and Northern Ireland,AMS-IC;,SMALL,None,None,ex post,0.25:0.75,DNV-CUK,1314067.9999999995,1126271.0
67,IGES05570,Votorantim’s Hydropower Plant with existing reservoir “Pedra do Cavalo” CDM Project,Brazil,Switzerland,ACM0002;,LARGE,None,None,ex ante,0.25:0.75,DNV-CUK,1867977.9999999998,324278.0
68,IGES05613,Ceran's Monte Claro Run of River Hydropower Plant CDM Project Activity,Brazil,Multiple Additional Countries,ACM0002;,LARGE,None,None,ex ante,0.25:0.75,DNV-CUK,2100720.9999999995,1429010.0
69,IGES05403,Jaguari Energética S. A. – Furnas do Segredo Small Hydro Power Plant,Brazil,Switzerland,AMS-ID;,SMALL,None,None,ex ante,0.25:0.75,SGS-UKL,297276.0,167933.0
70,IGES05496,Jilin Taonan Wind Power Project,China,Austria,ACM0002;,LARGE,None,done,ex ante,0.75:0.25,DNV-CUK,2052400.0,557923.0
71,IGES05162,Biogas Support Program - Nepal (BSP-Nepal)  Activity-1,Nepal,Multiple Additional Countries,AMS-IE;,SMALL,None,done,N.A.,N.A.,DNV-CUK,766661.0000000001,477240.0
72,IGES05591,La Vuelta and La Herradura Hydroelectric Project,Colombia,Japan,ACM0002;,LARGE,Investment Comparison Analysis,done,ex ante,0.25:0.75,DNV-CUK,1611155.0,1061037.0
73,IGES05209,Jepirachi Wind Power Project,Colombia,Multiple Additional Countries,ACM0002;,LARGE,None,done,ex ante,0.75:0.25,SGS-UKL,550781.3917808218,289198.0
74,IGES05127,Poechos I Project,Peru,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,TUEV-SUED,660940.0,615453.0
75,IGES05182,Bandeirantes Landfill Gas to Energy Project (BLFGE),Brazil,Multiple Additional Countries,ACM0001;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,DNV-CUK,9761239.416438354,5142965.0
76,IGES05835,Chacabuquito Hydroelectric Power Project,Chile,Multiple Additional Countries,AM0026;,LARGE,Investment Comparison Analysis,None,ex post,0.25:0.75,DNV-CUK,1674648.887671233,881359.0
77,IGES05090,La Esperanza Hydroelectric Project,Honduras,No Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,DNV-CUK,765171.3753424657,354254.0
78,IGES05389,Pronaca: Valentina-San Javier Swine Waste Management,Ecuador,Switzerland,AM0010;,LARGE,None,done,N.A.,N.A.,DNV-CUK,356656.08493150683,74939.0
79,IGES05821,Rio Taquesi Hydroelectric Power Project,"Bolivia, Plurinational State of",Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex post,0.25:0.75,DNV-CUK,3652215.0000000005,1776482.0
80,IGES05781,Incomex Hydroelectric Project,Brazil,Multiple Additional Countries,AMS-ID;,SMALL,None,done,ex post,0.25:0.75,DNV-CUK,1455631.1808219177,1229185.0
81,IGES05185,BK Energia Itacoatiara Project,Brazil,Switzerland,AMS-ID; AMS-IIIE;,SMALL,None,None,N.A.,N.A.,TUEV-SUED,987609.0,1532268.0
82,IGES05444,ARAPUtanga Centrais ELétricas S. A. - ARAPUCEL - Small Hydroelectric Power Plants Project,Brazil,Multiple Additional Countries,ACM0002;,LARGE,None,None,ex post,0.25:0.75,TUEV-SUED,1867347.9999999998,1760939.0
83,IGES05328,"Ganpati co-generation project at Medak, Andhra Pradesh",India,Multiple Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,SGS-UKL,998284.0,393803.0
84,IGES05088,HFC Decomposition Project in Ulsan,"Korea, Republic of",Multiple Additional Countries,AM0001;,LARGE,None,done,N.A.,N.A.,JQA,28442596.0,15841537.0
85,IGES05371,"12 MW hydropower plant in Bhandardara in Maharashtra, India.",India,"Netherlands, Kingdom of the",AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,BVQI,705215.0,579494.0
86,IGES05161,PROJECT FOR THE REFURBISHMENT AND UPGRADING OF DOLEGA HYDROPOWER PLANT (PANAMA).,Panama,Spain,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,SGS-UKL,189700.0,78098.0
87,IGES05160,PROJECT FOR THE REFURBISHMENT AND UPGRADING OF MACHO DE MONTE HYDROPOWER PLANT (PANAMA).,Panama,Spain,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,SGS-UKL,150191.99999999994,60180.0
88,IGES05388,Pronaca: Tropicales-Plata Swine Waste Management,Ecuador,Switzerland,AM0006;,LARGE,None,done,N.A.,N.A.,DNV-CUK,285369.0000000001,123407.0
89,IGES05625,"""14.65 MW Wind Power Project"" in Maharashtra by BF Utilities Ltd.",India,Multiple Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.75:0.25,DNV-CUK,549045.0000000001,498515.0
90,IGES10058,Runatullo II Hydroelectric Power Plant,Peru,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,RINA,1086760.090410959,0.0
91,IGES10046,Runatullo III Hydroelectric Power Plant,Peru,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,RINA,1324092.1232876712,0.0
92,IGES12287,Bundled Renewable Power Project by Sharma Industries (EKIESL-CDM.December-14-02),India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,TUEV-SUED,175056.0,27948.0
93,IGES12317,Solar Power Project by Fortum FinnSurya (EKIESLCDM. February-15-01),India,No Additional Countries,AMS-ID;,SMALL,None,Specific small scale,ex ante,0.75:0.25,LGAI,385182.00000000006,81035.0
94,IGES01330,4.05 MW Champamati small hydro power project,India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,4KES,254190.26575342464,31147.0
95,IGES12038,"Bundled Charmadi Mini Hydel and Aniyur Hole Small Hydro Project at Karnataka, India.",India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,4KES,553274.8849315068,29558.0
96,IGES12215,"102 MW Wind Power Project, ONGC, Rajasthan, India",India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-SUED,3490107.3452054793,0.0
97,IGES12165,Wind Power Project by M/s. D. J. Malpani in Maharashtra,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVI,835660.0,203276.0
98,IGES12068,Grid Connected Solar PV Project by M/s. Giriraj Enterprises in Rajasthan,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.75:0.25,LRQA Ltd,874790.0,285251.0
99,IGES12244,Xenamnoy-6 Hydropower project,Lao People's Democratic Republic,Switzerland,AMS-ID;,SMALL,None,Micro,ex ante,1:0,CTI,318926.70958904113,60306.0
100,IGES11972,Wind Power Project by Rajasthan Gum Private Limited (EKIESL-CDM.September-12-02),India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,BVI,513511.2821917808,0.0
101,IGES10542,Cerro Pabellon Geothermal Project (Apacheta),Chile,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,Earthood,5145455.0,0.0
102,IGES10237,Rondinha Small Hydroelectric Power Plant,Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,RINA,199444.0,80606.0
103,IGES12214,Wind Power Project by M/s D. J. Malpani at Jath in Maharashtra,India,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVI,685139.0,168917.0
104,IGES12213,"Wind Power Project by M/s. Giriraj Enterprises at Jath & Shahuwadi, Maharashtra",India,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVI,822157.0,160359.0
105,IGES09202,Sichuan Toudaoqiao 10MW Hydropower Project of China,China,Switzerland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,LGAI,480109.0,154583.0
106,IGES09274,Ferreira Gomes Hydro Power Plant CDM Project Activity,Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,Earthood,6388396.0,2013272.0
107,IGES09086,Maibarara Geothermal Power Project,Philippines,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,TUEV-SUED,3072727.0,634763.0
108,IGES10266,Orosi Wind Power Project,Costa Rica,Germany,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,LGAI,710500.0,365968.0
109,IGES12173,20 MW BEL Wind Power Project in Maharashtra,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RINA,486927.0,131283.0
110,IGES12142,Bundled Solar Power Project by EKI Energy Services Limited (EKIESL-CDM.September-13-02),India,No Additional Countries,AMS-ID;,SMALL,None,Specific small scale,ex ante,0.75:0.25,LGAI,207585.00000000003,23368.0
111,IGES03763,Plaine Des Roches Wind Farm,Mauritius,No Additional Countries,ACM0002;,LARGE,None,done,ex ante,0.75:0.25,DNV-CUK,422751.0,45929.0
112,IGES08977,Tashiding Hydroelectric Project,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,TUEV-SUED,8171326.350684931,389890.0
113,IGES12113,Xe Namnoy 2 - Xe Katam 1 Hydropower Project,Lao People's Democratic Republic,Switzerland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,1:0,JACO,980294.0,197837.0
114,IGES10103,Grid connected electricity generation from renewable source: Windfarm Complex Santa Vitória do Palmar and Chuí,Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.75:0.25,RINA,12855038.0,3110314.0
115,IGES10597,Burgos Wind Project,Philippines,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RINA,4991840.0,629955.0
116,IGES12123,5.6 MW CDM Bundled Solar Power Project in the state of Maharashtra (EKIESL-CDM.September-13-01),India,No Additional Countries,AMS-ID;,SMALL,None,Specific small scale,ex ante,0.75:0.25,LGAI,160503.0,0.0
117,IGES04446,Tunjita Diversion Hydroelectric Project,Colombia,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,KBS,661696.0000000001,0.0
118,IGES09247,Quebra Dentes Small Hydropower Plant CDM Project Activity,Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,DNV-CUK,489013.0,0.0
119,IGES04866,Zone 3 Landfill Gas Project,Guatemala,Switzerland,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,LGAI,3249098.999999999,0.0
120,IGES03750,Piedra Larga Phase II Wind Farm,Mexico,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,Carbon Check,5791569.0,1312079.0
121,IGES10288,Proactiva CGA Iperó Landfill Gas to Energy Project,Brazil,Switzerland,ACM0001;,LARGE,Investment Comparison Analysis & Benchmark Analysis,None,ex post,0.25:0.75,LGAI,2847145.0,13962.0
122,IGES11979,"HPP José Luiz Müller de Godoy Pereira (JUN1173), Brazil",Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,Earthood,742659.0958904111,0.0
123,IGES11569,Bundled Wind Project-II of Shivashri in Sadawaghapur Maharashtra,India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,LGAI,319025.00000000006,112451.0
124,IGES04588,Waste Heat Recovery Power Plant at Fecto Cement Limited.,Pakistan,No Additional Countries,AMS-IIIQ;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,KBS,356404.99999999994,0.0
125,IGES12130,"SHP Nova Mutum CDM Project (JUN1178), Brazil",Brazil,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,RINA,333703.99999999994,124324.0
126,IGES11911,Canhanduba Landfill Project,Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0001;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,LGAI,1738289.0000000002,73241.0
127,IGES11745,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,No Additional Countries,ACM0025;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,TUEV-SUED,6273617.0,0.0
128,IGES09303,San Pedro Wind Farm Project,Chile,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,KBS,1591975.0,472143.0
129,IGES09453,Los Hierros Hydroelectric Power Plant,Chile,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,8427,1299130.0000000002,518846.0
130,IGES08449,Chi Khe Hydropower Project,Viet Nam,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,4KES,2375219.0,0.0
131,IGES09352,Queixada Small Hydroelectric Power Plant CDM Project,Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,KBS,642348.0,0.0
132,IGES10906,Corredor dos Senandes CDM Project,Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.75:0.25,Earthood,3060603.0000000005,969253.0
133,IGES11887,Lower Kotmale Oya Mini Hydro Power Project,Sri Lanka,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,4KES,171325.0,24405.0
134,IGES10484,"SHP Paracambi CDM Project (JUN 1064), Brazil",Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,RINA,772205.0000000001,280719.0
