,Project ID,Project Name,Country,Methodology,Project Size,Estimated Emission Reductions,Actual Emission Reductions
49,VCS_2992,HG Afforestation Through High Quality Timber Over Degraded Grasslands,Uruguay,AR-ACM0003;,UNKNOWN,2056.0,703.0
50,VCS_2981,Installation of high efficiency wood burning cookstoves in Angola – Project 2,Angola,VMR0006;,UNKNOWN,5135576.0,55645.0
51,VCS_2982,BioLite Improved Cook stoves Programme - CER Conversion,Uganda,AMS-IIG;,UNKNOWN,11005.0,116570.0
52,VCS_2965,Niger Acacia Senegal Plantation Project - CER Conversion,Niger,AR-ACM0003;,UNKNOWN,24957.0,38769.0
53,VCS_2957,Wuhan Chenjiachong Landfill Gas Power Generation Project Phase II,China,ACM0001;,UNKNOWN,502446.0,273466.0
54,VCS_2951,Liaoning Xinwang Swine Farm Manure Management System GHG Mitigation Project,China,ACM0010;,UNKNOWN,605550.0,308498.0
55,VCS_2938,Yunshui Wastewater Treatment Plant Project in Guangdong Province,China,AM0080;,UNKNOWN,249126.0,110002.0
56,VCS_2942,Clean Cooking - Cook Stove for Rural India,India,VMR0006;,UNKNOWN,50552.0,148546.0
57,VCS_2944,Clean Cookstoves for Rural India,India,VMR0006;,UNKNOWN,714414.0,164300.0
58,VCS_2939,Global Cookstove Program (EKI Phase 01),India,VMR0006;,UNKNOWN,380876.0,62977.0
59,VCS_2930,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh,Bangladesh,AM0023;,UNKNOWN,6578974.0,8273584.0
60,VCS_2923,Grouped Projects for Viet Nam Cookstove Program.,Viet Nam,VMR0006;,UNKNOWN,61065.0,1020903.0
61,VCS_2925,Grouped Projects for Cambodia Improved Cookstove,Cambodia,VM0050;,UNKNOWN,14344426.0,608477.0
62,VCS_2917,Adjusted Water Management in Rice Cultivation in Shengzhou City,China,AMS-IIIAU;,UNKNOWN,59727.0,60000.0
63,VCS_2902,Adjusted Water Management in Rice Cultivation In Huangmei County,China,AMS-IIIAU;,UNKNOWN,239604.0,240000.0
64,VCS_2903,Adjusted Water Management in Rice Cultivation In Xiaochang County,China,AMS-IIIAU;,UNKNOWN,239664.0,240000.0
65,VCS_2908,Biomass Cookstove Project in Meghalaya,India,VMR0006;,UNKNOWN,44163.0,18067.0
66,VCS_2909,Adjusted Water Management in Rice Cultivation In Yingcheng City,China,AMS-IIIAU;,UNKNOWN,239608.0,240000.0
67,VCS_2910,Wude Adjusted Water Management in Rice Cultivation,China,AMS-IIIAU;,UNKNOWN,59751.0,60000.0
68,VCS_2911,Adjusted Water Management in Rice Cultivation in Haiyan County,China,AMS-IIIAU;,UNKNOWN,59882.0,60000.0
69,VCS_2912,Adjusted Water Management in Rice Cultivation in Tongxiang City,China,AMS-IIIAU;,UNKNOWN,59863.0,60000.0
70,VCS_2913,Guizhou Yingxing CMM Power Generation Project,China,ACM0008;,UNKNOWN,208084.0,134683.0
71,VCS_2899,Adjusted Water Management in Rice Cultivation In Dawu County,China,AMS-IIIAU;,UNKNOWN,239692.0,240000.0
72,VCS_2897,Forest Conservation in Boumba-et-Ngoko,Cameroon,VM0010;,UNKNOWN,724190.0,177835.0
73,VCS_2886,Installation of high efficiency wood burning cookstoves in Malawi – Project 3,Malawi,VMR0006;,UNKNOWN,2941626.0,73560.0
74,VCS_2888,Installation of high efficiency wood burning cookstoves in Mozambique – Project 2,Mozambique,VMR0006;,UNKNOWN,1722330.0,49437.0
75,VCS_2890,Installation of high efficiency wood burning cookstoves in Zimbabwe - Project 2,Zimbabwe,VMR0006;,UNKNOWN,1737100.0,197050.0
76,VCS_2880,"BINZHOU TOPIGS NORSVIN BREEDING SWINE CO., LTD. BINHAI SWINE FARM BIOGAS RECOVERY AND UTILIZATION PROJECT",China,AMS-IIID;,UNKNOWN,47180.0,20326.0
77,VCS_2879,Henan Lehuijia Composting Project,China,AMS-IIID; AMS-IIIF;,UNKNOWN,115137.0,60125.0
78,VCS_2864,Xuancheng Composting Project Phase I,China,AMS-IIID; AMS-IIIF;,UNKNOWN,148638.0,81094.0
79,VCS_2866,Xuan Cheng Composting Project Phase II,China,AMS-IIID; AMS-IIIF;,UNKNOWN,206112.0,123401.0
80,VCS_2846,FSW AMMS GHG Mitigation Project in Nanyang City,China,ACM0010;,UNKNOWN,1094250.0,597264.0
81,VCS_2848,Taikefeng Composting Project in Gaomi City,China,AMS-IIID; AMS-IIIF;,UNKNOWN,147753.0,92691.0
82,VCS_2852,Xinjiang Burqin Improved Grassland Management Project,China,VM0026;,UNKNOWN,1359235.0,678291.0
83,VCS_2835,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0001,Kenya,AMS-IIG; VMR0006; AMS-IIIAR;,UNKNOWN,552000.0,110457.0
84,VCS_2836,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0002,Kenya,AMS-IIG; AMS-IIIAR;,UNKNOWN,260110.0,188724.0
85,VCS_2837,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0003,Kenya,AMS-IIG; AMS-IIIAR;,UNKNOWN,363656.0,148258.0
86,VCS_2838,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0004,Uganda,AMS-IIG; AMS-IIIAR;,UNKNOWN,262150.0,44951.0
87,VCS_2839,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0005,Uganda,AMS-IIG; AMS-IIIAR;,UNKNOWN,58580.0,19578.0
88,VCS_2833,Grouped Reforestation Project by Cropzone Agro Forestry Private Limited,India,AR-ACM0003;,UNKNOWN,64038.0,22708.0
89,VCS_2830,Huineng Low Concentration Coal Mine Methane Utilization Project,China,ACM0008;,UNKNOWN,2112636.0,1278355.0
90,VCS_2828,Improved Cooking Stove Programme in Burundi,Burundi,AMS-IIG;,UNKNOWN,1012746.0,632878.0
91,VCS_2769,Adjusted Water Management in Rice Cultivation in Pinghu City,China,AMS-IIIAU;,UNKNOWN,59927.0,60000.0
92,VCS_2771,Futong Adjusted Water Management in Rice Cultivation,China,AMS-IIIAU;,UNKNOWN,239772.0,240000.0
93,VCS_2767,Associated Gas Recovery and Utilization at Block 9,Oman,AM0009;,UNKNOWN,1550500.0,277405.0
94,VCS_2768,Associated Gas Recovery and Utilization at Khamilah oil field area at Block-27 in Wilayat lbri of the Sultanate of Oman,Oman,AM0009;,UNKNOWN,1895304.0,1103504.0
95,VCS_2762,Guizhou Xintian CMM Power Generation Project,China,ACM0008;,UNKNOWN,1903830.0,350473.0
96,VCS_2754,"Household Biogas Carbon Offset Project for Clean, Convenient and Efficient Cooking by INSEDA Engineers and Consultants Private Limited (INSEDA-Engg)",India,AMS-IE;,UNKNOWN,51784.0,35820.0
97,VCS_2748,Zhangye Improved Grassland Management Project,China,VM0026;,UNKNOWN,3680030.0,2458517.0
98,VCS_2749,DelAgua Clean Cooking Grouped Project,Rwanda,VMR0006;,UNKNOWN,1637136.0,2408517.0
99,VCS_2745,Wuwei City Afforestation Project in Gansu Province,China,AR-ACM0003;,UNKNOWN,316760.0,61108.0
100,VCS_2746,Guangzhou Eastern Solid Resource Recycling Center MSW Integrated treatment Plant Project,China,ACM0022;,UNKNOWN,718028.0,332556.0
101,VCS_2739,Reducing Gas Leakages within the Pashchimanchal Gas Distribution Network in Bangladesh,Bangladesh,AM0023;,UNKNOWN,743722.0,545662.0
102,VCS_2736,Reducing Gas Leakages within the Bakhrabad Gas Distribution Network in Bangladesh,Bangladesh,AM0023;,UNKNOWN,4162227.0,2795255.0
103,VCS_2737,Reducing Gas Leakages within the Jalalabad Gas Distribution Network in Bangladesh,Bangladesh,AM0023;,UNKNOWN,3162915.0,2181179.0
104,VCS_2738,Reducing Gas Leakages within the Karnaphuli Gas Distribution Network in Bangladesh,Bangladesh,AM0023;,UNKNOWN,2517399.0,1874051.0
105,VCS_2731,Xuzhou Yanqun MSW Landfill Site LFG Recovery to Power Project,China,ACM0001;,UNKNOWN,203596.0,44445.0
106,VCS_2728,Huaibin MSW Landfill Site LFG Recovery and Comprehensive Utilization Project,China,ACM0001;,UNKNOWN,177588.0,118926.0
107,VCS_2723,CONDOTO REDD+,Colombia,VM0007;,UNKNOWN,499886.0,253838.0
108,VCS_2716,Improved Cookstoves Program in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” - CER Conversion,Honduras,AMS-IIG;,UNKNOWN,42222.0,74491.0
109,VCS_2711,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-002,Malawi,VMR0006;,UNKNOWN,151630.0,707458.0
110,VCS_2712,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-006,Malawi,VMR0006;,UNKNOWN,1935244.0,1935244.0
111,VCS_2706,Shuangbaotai AWMS GHG Mitigation Project in Jiangsu Province,China,ACM0010;,UNKNOWN,300424.0,186241.0
112,VCS_2707,ICS distribution for Improving life style of Malagasy Community,Madagascar,VMR0006;,UNKNOWN,626474.0,30628.0
113,VCS_2708,BluSmart EV Project in India,India,AMS-IF; AMS-IIIC;,UNKNOWN,50502.0,237.0
114,VCS_2696,Zhengbang AWMS GHG Mitigation Project in Guangdong Province,China,ACM0010;,UNKNOWN,620001.0,429056.0
115,VCS_2697,Zhengbang AWMS GHG Mitigation Project in Sichuan Province,China,ACM0010;,UNKNOWN,196824.0,118598.0
116,VCS_2700,SHINE - Distribution of LED lightbulbs in India-6,India,AMS-IIC;,UNKNOWN,2283556.0,538063.0
117,VCS_2701,SHINE - Distribution of LED lightbulbs in India-7,India,AMS-IIC;,UNKNOWN,111806.0,40104.0
118,VCS_2695,SHINE - Distribution of LED lightbulbs in India-5,India,AMS-IIC;,UNKNOWN,1905612.0,391939.0
119,VCS_2691,Aonong AWMS GHG Mitigation Project in Jiangxi Province,China,ACM0010;,UNKNOWN,1296573.0,934106.0
120,VCS_2692,Aonong AWMS GHG Mitigation Project in Fujian Province,China,ACM0010;,UNKNOWN,903614.0,590596.0
121,VCS_2693,Yizheng Zhongxing Recycled PET Project,China,AMS-IIIAJ;,UNKNOWN,119752.0,49582.0
122,VCS_2679,Jiyuan MSW Landfill Site LFG Recovery to Power Project,China,AMS-ID; AMS-IIIG;,UNKNOWN,161985.0,158009.0
123,VCS_2680,Yichang Huangjiawan MSW Landfill site LFG Recovery to power project,China,AMS-ID; AMS-IIIG;,UNKNOWN,250565.0,224201.0
124,VCS_2687,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-010,Madagascar,AMS-IIG;,UNKNOWN,75900.0,73990.0
125,VCS_2676,Community Carbon Efficient Cooking Programme - Tanzania-1,Tanzania,VMR0006; VM0050;,UNKNOWN,899445.0,1193.0
126,VCS_2664,Installation of High Efficient Cook Stoves by EKI Energy Services Limited,India,VMR0006;,UNKNOWN,635568.0,619982.0
127,VCS_2659,Ruijing Geothermal Based Space Heating System,China,AM0072;,UNKNOWN,1485867.0,867337.0
128,VCS_2657,SHINE – Distribution of LED Lightbulbs in India-3,India,AMS-IIC;,UNKNOWN,110092.0,982595.0
129,VCS_2652,HENAN YIYANG AFFORESTATION PROJECT,China,AR-ACM0003;,UNKNOWN,1408365.0,47976.0
130,VCS_2649,HOUSING DECARBONISATION IN THE UNITED KINGDOM,United Kingdom of Great Britain and Northern Ireland,VM0008;,UNKNOWN,69.0,1481.0
131,VCS_2639,Feitian 11 & Dabatian CMM Power Generation Project,China,ACM0008;,UNKNOWN,307867.0,155404.0
132,VCS_2635,Luohe Geothermal Based Space Heating System,China,AM0072;,UNKNOWN,963488.0,400579.0
133,VCS_2636,Eastern DRC Cookstove Project - South Kivu,"Congo, Democratic Republic of the",VMR0006;,UNKNOWN,569700.0,612048.0
134,VCS_2629,Adjusted Water Management in Rice Cultivation in South Jiangjin District,China,AMS-IIIAU;,UNKNOWN,213848.0,240000.0
135,VCS_2631,Adjusted Water Management in Rice Cultivation in Dazu District,China,AMS-IIIAU;,UNKNOWN,235608.0,240000.0
136,VCS_2632,Adjusted Water Management in Rice Cultivation in Eastern Hechuan District,China,AMS-IIIAU;,UNKNOWN,210692.0,240000.0
137,VCS_2633,Adjusted Water Management in Rice Cultivation in Nanchuan District,China,AMS-IIIAU;,UNKNOWN,237324.0,240000.0
138,VCS_2634,Adjusted Water Management in Rice Cultivation in Tongnan District,China,AMS-IIIAU;,UNKNOWN,239472.0,240000.0
139,VCS_2616,BQS improved cookstoves for Burundi’s schools,Burundi,AMS-IE;,UNKNOWN,561183.0,263695.0
140,VCS_2614,Lingbi County Wastewater Treatment Plant Project,China,AM0080;,UNKNOWN,201900.0,136052.0
141,VCS_2615,Jinjia Jiayi CMM Power Generation Project,China,ACM0008;,UNKNOWN,259976.0,205738.0
142,VCS_2611,CORAZÓN VERDE DEL CHACO PROJECT,Paraguay,VM0007;,UNKNOWN,2544944.0,862222.0
143,VCS_2608,SHINE - Distribution of LED lightbulbs in India-2,India,AMS-IIC;,UNKNOWN,110164.0,400944.0
144,VCS_2605,İZMIR LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Türkiye,ACM0001;,UNKNOWN,2472168.0,2445711.0
145,VCS_2606,Fujian Qingliu IFM (conversion of logged to protected forest) Project,China,VM0010;,UNKNOWN,507605.0,357652.0
146,VCS_2601,EnviroServ Chloorkop Landfill Gas Recovery Project,South Africa,ACM0001;,UNKNOWN,72643.0,76505.0
147,VCS_2599,Domestic Cooking Stoves substitution programme in Mozambique - CER Conversion,Mozambique,AMS-IIG;,UNKNOWN,60746.0,7772.0
148,VCS_2600,Oeste de Caucaia Landfill Project Activity - CER Conversion,Brazil,ACM0001;,UNKNOWN,523569.0,1134577.0
149,VCS_2592,Hongya MSW landfill site biogas power generation project,China,AMS-ID; AMS-IIIG;,UNKNOWN,104264.0,50600.0
150,VCS_2593,Botou Hengjie MSW landfill site LFG comprehensive utilization project,China,AMS-ID; AMS-IIIG;,UNKNOWN,105102.0,37890.0
151,VCS_2588,Taiba N’Diaye Wind Power,Senegal,ACM0002;,UNKNOWN,1219825.0,751672.0
152,VCS_2581,Grouped projects for Mekong River Delta Water Purifier,Viet Nam,AMS-IE; AMS-IIIAV;,UNKNOWN,1202693.0,634093.0
153,VCS_2582,Zhijiang Shibaoshan LFG Power Generation Project,China,AMS-ID; AMS-IIIG;,UNKNOWN,88276.0,54974.0
154,VCS_2576,Montes del Este afforestation through high quality timber in degraded grasslands,Uruguay,AR-ACM0003;,UNKNOWN,152000.0,439473.0
155,VCS_2566,The Serra do Amolar REDD+ Project,Brazil,VM0015;,UNKNOWN,362368.0,235181.0
156,VCS_2565,Yunnan Qiubei Afforestation Project,China,AR-ACM0003;,UNKNOWN,678530.0,53305.0
157,VCS_2557,Grouped projects for water purifiers for climate and community action,Viet Nam,AMS-IIIAV;,UNKNOWN,59152.0,95318.0
158,VCS_2558,ABC Norte REDD Project,Brazil,VM0015;,UNKNOWN,4018504.0,421510.0
159,VCS_2556,Southern Paraguay Sustainable Afforestation Project,Paraguay,AR-ACM0003;,UNKNOWN,1023084.0,119900.0
160,VCS_2551,BRAZILIAN AMAZON APD GROUPED PROJECT,Brazil,VM0007;,UNKNOWN,812538.0,803858.0
161,VCS_2540,Improved cookstoves for Burundi restaurants,Burundi,AMS-IE;,UNKNOWN,1322014.0,575239.0
162,VCS_2539,EVERGREEN REDD+ PROJECT,Brazil,VM0007;,UNKNOWN,3133094.0,766356.0
163,VCS_2538,Pendjari and W-Benin National Parks REDD+ Project,Benin,VM0009;,UNKNOWN,915692.0,290700.0
164,VCS_2537,Gansu Gaotai Biogas Recovery and Utilization Project,China,AMS-IIID;,UNKNOWN,126524.0,35332.0
165,VCS_2533,Improved Cookstove Programme by SDG13 in India,India,VMR0006;,UNKNOWN,1966523.0,338883.0
166,VCS_2535,Skyridge Farms Advanced Solid Separation Project,United States of America,AMS-IIIY; VMR0003;,UNKNOWN,40000.0,20692.0
167,VCS_2532,Cumare carbon project,Colombia,AR-ACM0003;,UNKNOWN,116720.0,453063.0
168,VCS_2525,Ziyang LFG Power Generation Project,China,ACM0001;,UNKNOWN,243873.0,160657.0
169,VCS_2521,Installation of high efficiency wood burning cookstoves in Laos,Lao People's Democratic Republic,VM0050;,UNKNOWN,373095.0,94224.0
170,VCS_2522,Installation of high efficiency wood burning cookstoves in Thailand,Thailand,VMR0006;,UNKNOWN,3800000.0,61162.0
171,VCS_2523,Installation of high efficiency wood burning cookstoves in Vietnam,Viet Nam,VMR0006;,UNKNOWN,1180000.0,44863.0
172,VCS_2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",Colombia,AR-ACM0003;,UNKNOWN,557956.0,482168.0
173,VCS_2516,Lianyuan LFG Power Generation Project,China,AMS-ID; AMS-IIIG;,UNKNOWN,81126.0,47869.0
174,VCS_2511,Joburg Landfill Gas to Energy Project. - CER Conversion,South Africa,ACM0001;,UNKNOWN,1920620.0,11645.0
175,VCS_2510,"CHINKO CONSERVATION AREA REDD+ PROJECT, CENTRAL AFRICAN REPUBLIC",Central African Republic,VM0009;,UNKNOWN,797106.0,496335.0
176,VCS_2504,Adjusted Water Management in Rice Cultivation in Xuanzhou District,China,AMS-IIIAU;,UNKNOWN,232256.0,240000.0
177,VCS_2505,Fuel Efficient Cooking in South Africa,South Africa,VMR0006;,UNKNOWN,311541.0,1022034.0
178,VCS_2506,Adjusted Water Management in Rice Cultivation In Northern Lujiang County,China,AMS-IIIAU;,UNKNOWN,177846.0,180000.0
179,VCS_2507,Adjusted Water Management in Rice Cultivation In Southern Lujiang County,China,AMS-IIIAU;,UNKNOWN,177129.0,180000.0
180,VCS_2508,UNITOR REDD+ PROJECT,Brazil,VM0015;,UNKNOWN,2614615.0,2314892.0
181,VCS_2503,Liling LFG Power Generation Project,China,ACM0001;,UNKNOWN,289416.0,140055.0
182,VCS_2502,TAHUAMANU AMAZON REDD PROJECT,Peru,VM0006;,UNKNOWN,4725324.0,3670112.0
183,VCS_2501,Durban Landfill-Gas Bisasar Road. - CER Conversion,South Africa,AM0010;,UNKNOWN,1713525.0,24134.0
184,VCS_2499,Guangzhou Huadu Shiling LFG Power Generation Project,China,ACM0001;,UNKNOWN,87579.0,263026.0
185,VCS_2498,Afforestation of degraded grasslands in Caazapa and Guairá,Paraguay,AR-ACM0003;,UNKNOWN,1024095.0,435078.0
186,VCS_2479,Mahogany Plantation in India,India,AR-ACM0003;,UNKNOWN,33784.0,3766.0
187,VCS_2481,Generation Forest Group Project,Panama,AR-ACM0003;,UNKNOWN,135000.0,51317.0
188,VCS_2476,Huaining Adjusted Water Management in Rice Cultivation,China,AMS-IIIAU;,UNKNOWN,174123.0,180000.0
189,VCS_2477,Wanfan Adjusted Water Management in Rice Cultivation,China,AMS-IIIAU;,UNKNOWN,179958.0,180000.0
190,VCS_2478,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh - CER Conversion,Bangladesh,AM0023;,UNKNOWN,10445166.0,6874812.0
191,VCS_2473,Installation of High Efficient Cook Stoves by Enking International,India,VMR0006;,UNKNOWN,347300.0,275987.0
192,VCS_2469,Afforestation and restoration of degraded forests in Eastern Paraguay or Forestal Azul Carbon Project,Paraguay,AR-ACM0003;,UNKNOWN,42744.0,25559.0
193,VCS_2468,Gaizhou Landfill Gas Power Generation Project,China,ACM0001;,UNKNOWN,257180.0,235966.0
194,VCS_2465,Avoided Conversion Cerrado,Brazil,VM0009;,UNKNOWN,500000.0,316781.0
195,VCS_2464,Nanning Landfill Gas Power Generation Project,China,ACM0001;,UNKNOWN,695433.0,574214.0
196,VCS_2463,Fuel Efficient Stoves in Zambia CPA 3. - CER Conversion,Zambia,AMS-IIG;,UNKNOWN,40864.0,7890.0
197,VCS_2458,Guoluo Grassland Sustainable Management Project,China,VM0026;,UNKNOWN,2284765.0,2593172.0
198,VCS_2455,Haicheng Landfill Gas Power Generation Project,China,ACM0001;,UNKNOWN,245742.0,144234.0
199,VCS_2457,BYZ GLOBAL ENERGY BIOGAS PLANT,Türkiye,AMS-ID; AMS-IIID;,UNKNOWN,202304.0,168812.0
200,VCS_2452,Laizhou Landfill Gas Power Generation Project,China,ACM0001;,UNKNOWN,234552.0,126210.0
201,VCS_2451,Shanxi Loufan Afforestation Project,China,AR-ACM0003;,UNKNOWN,819840.0,157059.0
202,VCS_2449,Tradewater International Dominican Republic,Dominican Republic,VM0016;,UNKNOWN,4000.0,23657.0
203,VCS_2446,Distribution of Improved cook stove - Phase 23,India,AMS-IIG;,UNKNOWN,64725.0,59873.0
204,VCS_2447,Distribution of Improved cook stove - Phase 21,India,AMS-IIG;,UNKNOWN,65175.0,60747.0
205,VCS_2448,Distribution of Improved cook stove - Phase 19,India,AMS-IIG;,UNKNOWN,64500.0,60086.0
206,VCS_2435,Distribution of Improved cook stove - Phase 7,India,AMS-IIG;,UNKNOWN,64995.0,56705.0
207,VCS_2436,Distribution of Improved cook stove - Phase 8,India,AMS-IIG;,UNKNOWN,63135.0,59479.0
208,VCS_2437,Distribution of Improved cook stove - Phase 9,India,AMS-IIG;,UNKNOWN,65980.0,61474.0
